show,condition,run,coverage,tokens_in,tokens_out,seconds,franchise_type,storyline_count
BB,baseline,1,1.0000,39154,14998,52.0,serial,6
BB,baseline,2,1.0000,39248,15045,50.1,serial,6
BB,baseline,3,1.0000,39149,15403,57.5,serial,6
BB,merged,1,1.0000,16775,11206,44.0,serial,4
BB,merged,2,1.0000,16751,11255,43.2,serial,4
BB,merged,3,1.0000,16749,11188,43.5,serial,4
GOT,baseline,1,1.0000,58797,22484,68.6,ensemble,8
GOT,baseline,2,1.0000,73169,22768,78.2,ensemble,8
GOT,baseline,3,1.0000,73314,23450,79.6,ensemble,8
GOT,merged,1,1.0000,29472,17437,64.8,ensemble,9
GOT,merged,2,1.0000,29037,17994,70.6,ensemble,8
GOT,merged,3,1.0000,32018,18999,74.1,ensemble,7
HOUSE,baseline,1,1.0000,106339,38122,62.3,procedural,11
HOUSE,baseline,2,1.0000,103775,39066,55.6,procedural,8
HOUSE,baseline,3,1.0000,106644,40392,61.9,procedural,8
HOUSE,merged,1,1.0000,58178,35001,62.1,hybrid,9
HOUSE,merged,2,1.0000,55120,33554,54.5,hybrid,9
HOUSE,merged,3,1.0000,55075,33478,50.8,hybrid,9
